,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
83,QJN4US,,7.0,fam,pit-bridge,0.0,0.0,5.04,True
84,QJN4US,,8.0,fam,pit-bridge,0.0,0.0,5.039,False
85,QJN4US,,9.0,testA,pit-bridge,0.0,0.0,5.04,False
86,QJN4US,,10.0,testB,pit-bridge,0.0,0.0,5.073,False
87,QJN4US,,11.0,testB,pit-bridge,0.0,0.0,5.041,True
88,QJN4US,,12.0,testA,pit-bridge,0.0,0.0,5.04,False
89,6QVVRP,,1.0,fam,pit-bridge,0.950937604275826,44.791,0.135,False
90,6QVVRP,,2.0,fam,pit-bridge,0.942151486096368,44.681,0.166,False
91,6QVVRP,,3.0,fam,pit-bridge,0.9688274135376884,44.756,0.177,False
92,6QVVRP,,4.0,fam,pit-bridge,0.935724599225672,41.208,3.338,False
93,6QVVRP,,5.0,fam,pit-bridge,0.9432589615671688,40.331,3.537,False
94,6QVVRP,,6.0,fam,pit-bridge,0.9317443956075044,7.381,2.576,False
95,6QVVRP,,7.0,fam,pit-bridge,0.9521078949214004,8.065,2.347,False
96,6QVVRP,,8.0,fam,pit-bridge,0.9285845726827452,5.003,2.006,True
97,6QVVRP,,9.0,testA,pit-bridge,0.9018885519223252,15.275,3.684,True
98,6QVVRP,,10.0,testB,pit-bridge,0.8788840651329869,10.74,4.604,True
99,6QVVRP,,11.0,testB,pit-bridge,0.90810183092212,4.305,2.174,True
100,6QVVRP,,12.0,testA,pit-bridge,0.8950501057491483,6.868,2.05,True
101,ENJPUP,,1.0,fam,barrier-jump,0.8578208208291788,9.775,1.567,True
102,ENJPUP,,2.0,fam,barrier-jump,0.7872191073631477,9.144,5.141,False
103,ENJPUP,,3.0,fam,barrier-jump,0.9000245808156704,11.14,3.345,True
104,PQ3UB2,,1.0,fam,pit,0.8752235207191581,45.051,0.0,False
105,PQ3UB2,,2.0,fam,pit,0.9047073218304094,42.109,2.685,False
106,PQ3UB2,,3.0,fam,pit,0.8706905799487866,43.386,1.263,False
107,PQ3UB2,,4.0,fam,pit,0.8536731032800924,26.106,2.725,True
108,PQ3UB2,,5.0,fam,pit,0.8484652922267005,5.75,2.032,True
109,PQ3UB2,,6.0,fam,pit,0.8766395886466928,0.0,5.064,True
110,PQ3UB2,,7.0,fam,pit,0.9169917954593384,2.337,7.299,True
111,PQ3UB2,,8.0,testB,pit,0.9073197745203682,5.653,2.313,False
112,PQ3UB2,,9.0,testA,pit,0.0,14.038,3.759,True
113,7VNC4V,,1.0,fam,pit,0.8678801738766185,41.122,2.556,False
114,7VNC4V,,2.0,fam,pit,0.7856760849698331,38.255,4.508,False
115,7VNC4V,,3.0,fam,pit,0.9023518891639362,7.065,4.197,True
116,7VNC4V,,4.0,fam,pit,0.8179287430312898,20.577,9.543,False
117,7VNC4V,,5.0,fam,pit,0.8781630707344985,22.186,7.032,True
118,7VNC4V,,6.0,fam,pit,0.8272265661650031,3.292,3.655,True
119,7VNC4V,,7.0,fam,pit,0.8760134722505297,12.185,2.436,True
120,7VNC4V,,8.0,fam,pit,0.8416312813056931,33.076,4.959,True
121,7VNC4V,,9.0,testB,pit,0.7177478408683902,1.539,4.04,True
122,7VNC4V,,10.0,testA,pit,0.8251574760259583,8.909,6.306,True
123,7VNC4V,,11.0,testA,pit,0.9563344427280956,4.756,2.031,True
124,7VNC4V,,12.0,testB,pit,0.7925918509905365,2.323,2.406,True
125,Y34LC3,,1.0,fam,barrier-around,0.9477513773279302,12.777,2.032,False
126,Y34LC3,,2.0,fam,barrier-around,0.9429986352438988,44.194,0.735,False
127,Y34LC3,,3.0,fam,barrier-around,0.9407601644423106,35.093,2.063,False
128,Y34LC3,,4.0,fam,barrier-around,0.9657838379964232,10.735,2.031,True
129,Y34LC3,,5.0,fam,barrier-around,0.9639358678470652,9.408,2.001,True
130,Y34LC3,,6.0,fam,barrier-around,0.9228803125804552,33.825,3.15,False
131,Y34LC3,,7.0,fam,barrier-around,0.9324204112627316,40.717,3.887,False
132,Y34LC3,,8.0,fam,barrier-around,0.9178957041480412,33.343,3.696,True
133,Y34LC3,,9.0,testA,barrier-around,0.8283999956610921,15.292,5.423,True
134,Y34LC3,,10.0,testB,barrier-around,0.849306672334671,0.0,5.055,True
135,Y34LC3,,11.0,testB,barrier-around,0.788385476745092,4.0,5.952,True
136,Y34LC3,,12.0,testA,barrier-around,0.7502503268309494,4.084,2.004,True
137,Y34LC3,,13.0,testA,barrier-around,0.8858397462628895,8.591,2.717,True
138,Y34LC3,,14.0,testB,barrier-around,0.0,6.193,3.18,True
139,cVPd7F,,1.0,fam,barrier-around,0.8410787667113322,44.013,1.254,False
140,cVPd7F,,2.0,fam,barrier-around,0.8323155793454359,44.667,0.318,False
141,cVPd7F,,3.0,fam,barrier-around,0.7758837262490639,44.116,0.461,False
142,cVPd7F,,4.0,fam,barrier-around,0.8690231772693428,12.283,3.819,True
143,cVPd7F,,5.0,fam,barrier-around,0.7910277690144553,20.258,3.111,True
144,cVPd7F,,6.0,fam,barrier-around,0.9612138284013626,4.307,2.034,True
145,cVPd7F,,7.0,fam,barrier-around,0.7149524153495321,9.002,2.017,True
146,cVPd7F,,8.0,testA,barrier-around,0.8213216931176331,4.17,2.019,True
147,cVPd7F,,9.0,testB,barrier-around,0.8268065529947097,5.378,2.034,True
148,cVPd7F,,10.0,testB,barrier-around,0.8552856552931998,2.882,2.049,True
149,cVPd7F,,11.0,testA,barrier-around,0.7811830167969068,3.664,2.134,True
150,SdF62S,,1.0,fam,pit-bridge,0.886345319336441,6.989,7.318,False
151,SdF62S,,2.0,fam,pit-bridge,0.9380995339516436,4.899,8.467,False
152,SdF62S,,3.0,fam,pit-bridge,0.8812587872427207,2.899,4.458,False
153,SdF62S,,4.0,fam,pit-bridge,0.8619149444063579,2.798,2.629,False
154,SdF62S,,5.0,fam,pit-bridge,0.8919289050338505,0.0,5.046,False
155,SdF62S,,6.0,fam,pit-bridge,0.6802428272035387,0.0,5.053,True
156,SdF62S,,7.0,fam,pit-bridge,0.7921695604337661,1.82,2.567,True
157,SdF62S,,8.0,fam,pit-bridge,0.8708247185420634,0.0,5.015,True
158,SdF62S,,9.0,testA,pit-bridge,0.8358468520107554,1.552,5.326,True
159,SdF62S,,10.0,testB,pit-bridge,0.9025319305559,3.559,4.616,True
160,SdF62S,,11.0,testB,pit-bridge,0.9222582425620104,0.357,4.027,True
161,SdF62S,,12.0,testA,pit-bridge,0.846538191749936,4.726,5.467,True
162,SdF62S,,13.0,testA,pit-bridge,0.8848757975459717,0.0,4.852,False
163,SdF62S,,14.0,testA,pit-bridge-repeat-1,0.8527893996016579,2.265,3.262,True
164,SdF62S,,15.0,testB,pit-bridge,0.0,5.049,3.267,True
165,cPWHF4,,1.0,fam,barrier-around,0.9245832815307264,33.135,3.066,False
166,cPWHF4,,2.0,fam,barrier-around,0.9045147633102412,7.617,2.032,True
167,cPWHF4,,3.0,fam,barrier-around,0.9118256054008388,11.535,2.014,False
168,cPWHF4,,4.0,fam,barrier-around,0.8918970320300151,42.862,1.861,False
169,cPWHF4,,5.0,fam,barrier-around,0.8830446774593076,7.471,4.367,False
170,cPWHF4,,6.0,fam,barrier-around,0.9072226022197082,11.663,2.591,False
171,cPWHF4,,7.0,fam,barrier-around,0.9347134809618052,20.753,5.418,True
172,cPWHF4,,8.0,fam,barrier-around,0.8746864416382529,17.297,2.575,True
173,cPWHF4,,9.0,testB,barrier-around,0.8780217881154533,6.033,2.048,True
174,cPWHF4,,10.0,testA,barrier-around,0.8866708523477611,36.103,6.182,False
175,cPWHF4,,11.0,testA,barrier-around,0.9678444194793702,4.131,2.015,True
176,cPWHF4,,12.0,testB,barrier-around,0.8503131661842118,4.364,2.01,True
177,BMYAFZ,,1.0,fam,barrier-around,0.8967539200461224,22.062,2.727,True
178,BMYAFZ,,2.0,fam,barrier-around,0.8824491307533607,22.648,3.41,True
179,BMYAFZ,,3.0,fam,barrier-around,0.8792445507239212,20.244,4.831,True
180,BMYAFZ,,4.0,fam,barrier-around,0.8610006461235193,21.197,2.093,True
181,BMYAFZ,,5.0,fam,barrier-around,0.9319274075329304,10.737,4.358,True
182,BMYAFZ,,6.0,fam,barrier-around,0.8930177059690309,8.299,2.883,True
183,BMYAFZ,,7.0,fam,barrier-around,0.8842415529053386,6.513,3.542,True
184,BMYAFZ,,8.0,testB,barrier-around,0.8248665602283275,6.131,2.015,True
185,BMYAFZ,,9.0,testA,barrier-around,0.9467040157603648,5.069,3.767,True
186,BMYAFZ,,10.0,testA,barrier-around,0.9254322254432822,7.186,2.228,True
187,BMYAFZ,,11.0,testB,barrier-around,0.8672304616744861,7.562,2.136,True
188,3JRZDR,,1.0,fam,barrier-around,0.9443443323688946,8.265,2.133,False
189,3JRZDR,,2.0,fam,barrier-around,0.9418100804461764,2.036,3.795,False
190,3JRZDR,,3.0,fam,barrier-around,0.9146624715011707,5.364,3.6,False
191,3JRZDR,,4.0,fam,barrier-around,0.921278626014182,14.129,5.301,False
192,3JRZDR,,5.0,fam,barrier-around,0.862374095206565,2.868,4.236,True
193,3JRZDR,,6.0,fam,barrier-around,0.8632090002932447,3.23,2.834,True
194,3JRZDR,,7.0,fam,barrier-around,0.8817798464706069,12.491,5.202,True
195,3JRZDR,,8.0,testB,barrier-around,0.8981207451148397,11.766,5.259,True
196,3JRZDR,,9.0,testA,barrier-around,0.8988347801295193,21.126,1.133,True
197,ZALYBK,,1.0,fam,barrier-jump,0.8875939837604199,7.663,3.666,False
198,ZALYBK,,2.0,fam,barrier-jump,0.9158481215309322,19.59,3.231,False
199,ZALYBK,,3.0,fam,barrier-jump,0.8656722932634219,2.998,2.032,True
200,ZALYBK,,4.0,fam,barrier-jump,0.8578478616939204,6.162,5.23,False
201,ZALYBK,,5.0,fam,barrier-jump,0.7565475257349686,4.165,3.865,True
202,ZALYBK,,6.0,fam,barrier-jump,0.8529463994850233,9.728,6.397,True
203,ZALYBK,,7.0,fam,barrier-jump,0.8399609026088509,2.699,4.464,True
204,ZALYBK,,8.0,testB,barrier-jump,0.8573056770532056,3.431,3.764,False
205,ZALYBK,,9.0,testA,barrier-jump,0.8157219634287887,4.364,2.032,True
206,ZALYBK,,10.0,testA,barrier-jump,0.8450413689017295,5.697,2.033,False
207,ZALYBK,,11.0,testB,barrier-jump,0.8263201155634814,5.33,3.431,True
208,J4F5A2,,1.0,fam,barrier-jump,0.9380763621433922,11.586,2.016,False
209,J4F5A2,,2.0,fam,barrier-jump-repeat-1,0.9248095561387176,43.519,1.314,False
210,J4F5A2,,3.0,fam,barrier-jump,0.8123119482918392,2.096,1.406,False
211,J4F5A2,,4.0,fam,barrier-jump-repeat-1,0.9077304243512264,41.439,3.216,False
212,J4F5A2,,5.0,fam,barrier-jump,0.8838062799429591,23.872,2.032,True
213,J4F5A2,,6.0,fam,barrier-jump,0.8679109318657322,10.059,2.015,True
214,J4F5A2,,7.0,fam,barrier-jump,0.7751884128663923,11.694,3.218,True
215,J4F5A2,,8.0,fam,barrier-jump,0.8639730619354833,12.873,3.664,False
216,J4F5A2,,9.0,fam,barrier-jump,0.8638332463563464,20.75,3.024,False
217,J4F5A2,,10.0,fam,barrier-jump,0.8346138566481967,3.636,3.028,True
218,J4F5A2,,11.0,testA,barrier-jump,0.9493387821815946,13.167,2.016,True
219,J4F5A2,,12.0,testB,barrier-jump,0.708582509071269,2.524,2.369,True
220,J4F5A2,,13.0,testB,barrier-jump,0.6849214878736758,1.658,3.33,True
221,J4F5A2,,14.0,testA,barrier-jump,0.7417679712800922,1.341,5.293,True
222,BJFJAM,,1.0,fam,pit,0.8834900228834864,3.989,2.242,False
223,BJFJAM,,2.0,fam,pit,0.908008460739002,6.989,8.622,True
224,BJFJAM,,3.0,fam,pit,0.89253456815661,27.019,9.325,True
225,BJFJAM,,4.0,fam,pit,0.8675891501423575,17.942,5.175,True
226,BJFJAM,,5.0,fam,pit,0.8660815777540868,9.799,5.386,True
227,BJFJAM,,6.0,fam,pit,0.88105521270207,5.233,3.102,True
228,BJFJAM,,7.0,fam,pit,0.8408684102302426,6.742,1.82,True
229,BJFJAM,,8.0,testB,pit,0.8689478387660031,12.37,8.542,True
230,BJFJAM,,9.0,testA,pit,0.8089889905282429,2.35,3.982,True
231,3GSKJ5,,1.0,fam,pit,0.8903545456966138,40.909,2.016,False
232,3GSKJ5,,2.0,fam,pit,0.903743008983896,20.257,2.479,True
233,3GSKJ5,,3.0,fam,pit,0.875940654768008,9.823,2.015,True
234,3GSKJ5,,4.0,fam,pit,0.8924580521406011,15.582,2.784,True
235,3GSKJ5,,5.0,fam,pit,0.9006655278536597,15.549,3.073,True
236,3GSKJ5,,6.0,fam,pit,0.9020662634980444,6.606,3.282,True
237,3GSKJ5,,7.0,fam,pit,0.8890585262434824,11.038,6.575,True
238,3GSKJ5,,8.0,testB,pit,0.8060143603299691,5.71,2.015,True
239,3GSKJ5,,9.0,testA,pit,0.7687676536793612,1.106,3.825,True
240,3GSKJ5,,10.0,testA,pit,0.8830749005713361,6.175,2.062,True
241,3GSKJ5,,11.0,testB,pit,0.9065787774901236,5.168,2.016,True
242,BEV5ZY,,1.0,fam,barrier-jump,0.9199041647438118,45.04,0.0,False
243,BEV5ZY,,2.0,fam,barrier-jump,0.902117762371942,44.867,0.0,False
244,BEV5ZY,,3.0,fam,barrier-jump,0.9216061365782824,8.107,2.011,False
245,BEV5ZY,,4.0,fam,barrier-jump,0.8996748434478501,7.244,2.004,False
246,BEV5ZY,,5.0,fam,barrier-jump,0.8646901703155191,30.979,7.057,True
