,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
75,74cEPQ,,13.0,testA,pit-bridge,0.8851499230853769,9.711,3.889,3.259,True
76,74cEPQ,,14.0,testB,pit-bridge,0.8806581676647227,6.109,2.583,2.707,True
77,QJN4US,,1.0,fam,pit-bridge,0.0,0.0,45.024,4.016,False
78,QJN4US,,2.0,fam,pit-bridge,0.0,0.0,44.992,4.016,False
79,QJN4US,,3.0,fam,pit-bridge,0.0,0.0,44.992,4.016,False
80,QJN4US,,4.0,fam,pit-bridge,0.0,0.0,31.056,4.0,True
81,QJN4US,,5.0,fam,pit-bridge,0.0,0.0,44.991,4.015,False
82,QJN4US,,6.0,fam,pit-bridge,0.0,0.0,44.992,4.016,False
83,QJN4US,,7.0,fam,pit-bridge,0.0,0.0,28.608,4.017,True
84,QJN4US,,8.0,fam,pit-bridge,0.0,0.0,45.007,4.0,False
85,QJN4US,,9.0,testA,pit-bridge,0.0,0.0,45.04,4.0,False
86,QJN4US,,10.0,testB,pit-bridge,0.0,0.0,45.024,4.016,False
87,QJN4US,,11.0,testB,pit-bridge,0.0,0.0,12.544,4.016,True
88,QJN4US,,12.0,testA,pit-bridge,0.0,0.0,44.992,4.017,False
89,6QVVRP,,1.0,fam,pit-bridge,0.950937604275826,44.791,0.135,0.0,False
90,6QVVRP,,2.0,fam,pit-bridge,0.942151486096368,44.681,0.166,0.0,False
91,6QVVRP,,3.0,fam,pit-bridge,0.9688274135376884,44.756,0.177,0.0,False
92,6QVVRP,,4.0,fam,pit-bridge,0.935724599225672,41.208,3.338,0.0,False
93,6QVVRP,,5.0,fam,pit-bridge,0.9432589615671688,40.331,3.537,0.0,False
94,6QVVRP,,6.0,fam,pit-bridge,0.9317443956075044,38.087,5.749,0.794,False
95,6QVVRP,,7.0,fam,pit-bridge,0.9521078949214004,32.085,12.238,0.0,False
96,6QVVRP,,8.0,fam,pit-bridge,0.9285845726827452,9.585,11.958,3.64,True
97,6QVVRP,,9.0,testA,pit-bridge,0.9018885519223252,27.927,8.665,1.861,True
98,6QVVRP,,10.0,testB,pit-bridge,0.8788840651329869,10.74,8.365,4.027,True
99,6QVVRP,,11.0,testB,pit-bridge,0.90810183092212,4.305,7.511,4.008,True
100,6QVVRP,,12.0,testA,pit-bridge,0.8950501057491483,6.868,5.42,4.006,True
101,ENJPUP,,1.0,fam,barrier-jump,0.8578208208291788,9.775,1.567,1.631,True
102,ENJPUP,,2.0,fam,barrier-jump,0.7872191073631477,26.624,14.214,1.965,False
103,ENJPUP,,3.0,fam,barrier-jump,0.9000245808156704,11.14,3.345,1.953,True
104,PQ3UB2,,1.0,fam,pit,0.8752235207191581,45.051,0.0,0.0,False
105,PQ3UB2,,2.0,fam,pit,0.9047073218304094,42.109,2.685,0.0,False
106,PQ3UB2,,3.0,fam,pit,0.8706905799487866,43.386,1.263,0.0,False
107,PQ3UB2,,4.0,fam,pit,0.8536731032800924,26.106,5.242,4.026,True
108,PQ3UB2,,5.0,fam,pit,0.8484652922267005,5.75,6.815,4.039,True
109,PQ3UB2,,6.0,fam,pit,0.8766395886466928,0.0,9.615,4.003,True
110,PQ3UB2,,7.0,fam,pit,0.9169917954593384,2.337,10.189,4.028,True
111,PQ3UB2,,8.0,testB,pit,0.9073197745203682,33.689,10.683,0.0,False
